protIDs,surfaces,prot_lengths,surface_seq,frac_mod_beta_list,frac_mod_alfa_list,frac_exp_alfa_list,frac_k_minus_r,frac_neg,frac_charged,pos_minus_neg,iso_point,charge,aromatic_fracs,aromaticitys,weights,radius,instability,b_factor
Q6BF16,14639.977044880927,270,54.22213720326269,0.08571428571428572,0.3698630136986301,0.3493150684931507,0.02592592592592592,0.00041152263374485596,0.0007407407407407407,-8.230452674897121e-05,5.007765388488769,-7.425536743955021,0.06296296296296296,0.06296296296296297,28602.260699999984,27.754466028985615,31.253703703703685,292.77838644410684
Q57261,16873.30707117049,338,49.92102683778251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316716957092285,-2.233054940783591,0.020710059171597635,0.175,4753.325699999999,21.664554183898566,36.2425,38.45714231499046
Q47679,11314.204402596815,255,44.36942902979143,0.17721518987341772,0.3333333333333333,0.28205128205128205,-0.058823529411764705,0.0004152249134948097,0.0008765859284890427,4.6136101499423294e-05,6.05877513885498,-3.8005745971157836,0.09803921568627451,0.09803921568627451,28738.337600000013,17.341073067062982,43.951019607843115,0.8285143139190443
Q47622,20714.211912935316,506,40.93717769354806,0.2857142857142857,0.271523178807947,0.16556291390728478,-0.03162055335968379,0.00020700214032401694,0.000445249886734678,3.1245606086644065e-05,6.801319694519043,-0.6419750989016393,0.10474308300395258,0.10474308300395258,57216.14250000009,23.12777597126642,42.07057312252966,0.7867144977733788
Q47208,21003.80875738349,437,48.063635600419886,0.0,0.35,0.55,-0.045454545454545456,0.0015495867768595042,0.0025826446280991736,-0.0005165289256198347,9.98894100189209,2.9388553729221005,0.006864988558352402,0.05660377358490566,5850.730199999999,27.776443408009744,78.84905660377359,37.938337993165575
Q47155,7372.995046454,111,66.42337879688289,0.3157894736842105,0.2702702702702703,0.32432432432432434,-0.05405405405405406,0.0012174336498660824,0.0029218407596785976,0.00048697345994643286,8.153074836730958,1.3020826941358123,0.05405405405405406,0.05405405405405406,12979.825199999988,16.668290883403436,36.45945945945944,22.70887431693989
Q47147,11719.17822943222,253,46.32086256692577,0.23469387755102042,0.27906976744186046,0.23255813953488372,-0.015810276679841896,0.00034370166695308474,0.0007967629552094237,0.00010935962130325424,8.182730293273927,2.243573171532745,0.11067193675889328,0.11067193675889328,28404.955800000014,17.62936956351759,30.503201581027668,0.8058370814592613
Q47140,10718.363177005223,170,63.04919515885425,0.3333333333333333,0.275,0.325,-0.08823529411764706,0.0008650519031141869,0.0017993079584775087,6.920415224913497e-05,6.247764778137207,-1.7351198091534599,0.1,0.1,20360.715700000004,16.824263600463205,31.30888235294116,0.7244961779013194
Q46938,13060.189027478214,270,48.37107047214153,0.0,0.4166666666666667,0.5,0.0,0.0026298487836949372,0.00460223537146614,-0.0006574621959237344,5.3203229904174805,-1.1596929657410662,0.0,0.0,1013.1687000000002,18.08438094589167,27.088888888888892,14.655910390848451
Q46920,12761.66475786569,260,49.08332599179111,0.27586206896551724,0.273972602739726,0.1780821917808219,-0.038461538461538464,0.0005029585798816569,0.0009911242603550295,-1.4792899408284032e-05,5.5064706802368155,-7.5530085270464795,0.10384615384615385,0.10384615384615385,30220.497200000053,19.5611071137984,24.42961538461537,0.8289784442361741
Q46888,13245.841820989199,287,46.15275895815052,0.20930232558139536,0.3161290322580645,0.25806451612903225,0.017421602787456445,0.00032779322317862304,0.0005827435078731077,-7.284293848413848e-05,4.889938163757324,-11.537141340385904,0.059233449477351915,0.059233449477351915,29334.269400000005,19.719306194088706,13.391289198606266,0.88956246961595
Q46871,13300.695682762382,242,54.961552408109014,0.3411764705882353,0.26666666666666666,0.2,-0.05785123966942149,0.0005805614370603101,0.0010928215285841132,-6.830134553650706e-05,5.175099372863768,-9.597283450843388,0.10743801652892562,0.10743801652892562,27385.479700000004,18.57889349147496,44.538429752066115,0.7134262125903006
Q46864,5072.199026737285,70,72.45998609624692,0.3448275862068966,0.2631578947368421,0.5263157894736842,0.04285714285714286,0.0012244897959183673,0.0030612244897959186,0.0006122448979591834,7.69522647857666,0.7333555779360061,0.07142857142857142,0.07142857142857142,7792.007699999999,14.26632225634256,29.479999999999997,16.47155555555555
Q46857,11864.051770448625,274,43.29945901623586,0.021739130434782608,0.2831858407079646,0.24778761061946902,0.0364963503649635,0.00046619425648676007,0.0009723480206723852,3.9959507698865155e-05,6.008699989318846,-4.386348661485208,0.072992700729927,0.072992700729927,30978.046900000023,18.109713618294904,39.47299270072991,28.193372943327223
Q46806,17733.43290779268,458,38.71928582487485,0.16037735849056603,0.2916666666666667,0.1736111111111111,-0.04366812227074236,0.00023359585057493182,0.000510097061459545,4.290536030968141e-05,6.184844017028809,-6.056867094294354,0.08078602620087336,0.08078602620087336,50715.16410000011,21.41599800886266,42.581441048034925,0.7641760089686098
Q46803,17913.09570455293,366,48.9428844386692,0.0,0.34285714285714286,0.5142857142857142,0.059701492537313425,0.0017821341055914456,0.003341501447983961,-0.0002227667631989308,9.820871925354005,2.7635179953139275,0.00273224043715847,0.04,2882.4036,21.078498594279452,38.92800000000001,35.31004524886877
Q46799,30420.929034189918,750,40.56123871225322,0.26842105263157895,0.22972972972972974,0.17117117117117117,-0.016,0.00013866666666666666,0.00028977777777777774,1.2444444444444428e-05,5.892805290222167,-12.581126489442397,0.06533333333333333,0.06533333333333333,81093.58950000041,27.674301763112013,43.79801333333344,0.7062686567164252
Q12354,10608.373524419761,216,49.112840390832226,0.23255813953488372,0.2716049382716049,0.2962962962962963,0.06018518518518518,0.000407235939643347,0.0008573388203017831,4.286694101508911e-05,5.953736686706543,-3.6297387779706014,0.10185185185185185,0.10185185185185185,23558.638700000003,16.466814473763804,30.255601851851843,0.724492492492492
Q12245,7262.030184154799,127,57.18134003271495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.674227714538575,-0.3761951984065579,0.031496062992125984,0.05714285714285714,8002.254199999997,14.1564495344783,33.475714285714275,36.878255234297136
Q12125,14523.002722235711,281,51.68328370902388,0.5,0.27884615384615385,0.21634615384615385,0.046263345195729534,0.000531908157191525,0.0009751649548511291,-8.865135953192092e-05,5.0370943069458,-12.602353483165082,0.15658362989323843,0.15658362989323843,33042.120600000024,24.490250584055147,26.664448398576514,22.011653813196208
Q12074,13005.113573792783,287,45.31398457767521,0.1590909090909091,0.2391304347826087,0.2608695652173913,0.05923344947735191,0.00048561958989425634,0.0009469582002937999,-2.4280979494712882e-05,5.416096687316894,-10.354480013617291,0.10104529616724739,0.10104529616724739,32649.880100000017,18.20075762338976,24.96515679442508,0.8123110338835678
Q12068,15936.62945514825,342,46.59833174019956,0.16981132075471697,0.2413793103448276,0.1793103448275862,0.06432748538011696,0.00040183304264560036,0.0008122157244964263,8.54963920522559e-06,5.779070472717284,-6.697273504672289,0.09064327485380116,0.09064327485380116,38169.03180000001,20.31858644119524,35.33684210526316,53.35216728624536
